id,left,right
0,129,43
1,61,23
2,103,23
3,30,23
4,55,23
5,9,23
6,76,23
7,118,43
8,53,23
9,81,23
10,56,23
11,7,23
12,12,43
13,55,23
14,53,23
15,103,23
16,16,23
17,22,23
18,76,23
19,4,23
20,51,23
21,103,23
22,76,23
23,81,23
24,103,23
25,22,23
26,63,23
27,103,23
28,51,23
29,129,43
30,22,23
31,103,23
32,30,23
33,103,23
34,63,23
35,53,23
36,6,23
37,103,23
38,53,23
39,9,23
40,51,23
41,103,23
42,22,23
43,129,43
44,55,23
45,129,43
46,51,23
47,103,23
48,103,23
49,18,43
50,61,23
51,51,23
52,81,23
53,6,23
54,51,23
55,103,23
56,81,23
57,55,23
58,53,23
59,6,23
60,61,23
61,61,43
62,81,23
63,63,23
64,76,23
65,1,23
66,53,23
67,51,23
68,81,23
69,103,23
70,56,23
71,81,23
72,6,23
73,55,23
74,129,43
75,53,23
76,55,23
77,4,43
78,56,23
79,103,23
80,36,23
81,51,23
82,7,23
83,81,23
84,12,23
85,103,23
86,61,23
87,16,23
88,55,23
89,103,23
90,76,23
91,22,23
92,81,23
93,103,23
94,76,23
95,15,23
96,51,23
97,30,23
98,61,23
99,55,23
