time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, 
1.0, 0.996667, 0.993789, 1.000000, 0.994764, 0.995434, 0.995475, 0.995434, 0.995781, 1.000000, 0.992481, 1.000000, 0.995169, 1.000000, 0.996454, 1.000000, 0.997101, 1.000000, 0.997475, 0.972973, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.993464, 1.000000, 0.995349, 1.000000, 0.996016, 1.000000, 1.000000, 1.000000, 0.996815, 1.000000, 0.997093, 1.000000, 0.995968, 1.000000, 0.995074, 1.000000, 0.997375, 1.000000, 0.997423, 0.996390, 
2.0, 0.986667, 0.993789, 1.000000, 0.994764, 0.986301, 0.990950, 0.986301, 0.987342, 0.986111, 0.992481, 1.000000, 0.995169, 0.978495, 0.992908, 0.978495, 0.991304, 0.980000, 0.989899, 0.972973, 1.000000, 1.000000, 0.985714, 1.000000, 0.991667, 1.000000, 0.986928, 1.000000, 0.986047, 1.000000, 0.988048, 1.000000, 0.983607, 1.000000, 0.987261, 1.000000, 0.988372, 0.985075, 0.983871, 1.000000, 0.985222, 0.986607, 0.986877, 0.984848, 0.987113, 0.985560, 
3.0, 0.984444, 0.993789, 1.000000, 0.994764, 0.977169, 0.990950, 0.977169, 0.987342, 0.976852, 0.992481, 1.000000, 0.995169, 0.978495, 0.992908, 0.978495, 0.991304, 0.980000, 0.989899, 0.945946, 1.000000, 1.000000, 0.971429, 1.000000, 0.983333, 1.000000, 0.980392, 1.000000, 0.976744, 1.000000, 0.980080, 1.000000, 0.978142, 1.000000, 0.980892, 1.000000, 0.982558, 0.985075, 0.979839, 1.000000, 0.980296, 0.986607, 0.981627, 0.984848, 0.987113, 0.978339, 
4.0, 0.977778, 0.987578, 1.000000, 0.989529, 0.963470, 0.986425, 0.963470, 0.983122, 0.967593, 0.992481, 0.968750, 0.990338, 0.967742, 0.985816, 0.967742, 0.985507, 0.970000, 0.984848, 0.945946, 1.000000, 1.000000, 0.942857, 1.000000, 0.966667, 1.000000, 0.967320, 1.000000, 0.962791, 1.000000, 0.968127, 1.000000, 0.967213, 1.000000, 0.971338, 1.000000, 0.973837, 0.985075, 0.971774, 1.000000, 0.972906, 0.982143, 0.973753, 0.984848, 0.981959, 0.967509, 
5.0, 0.967778, 0.975155, 0.966667, 0.979058, 0.958904, 0.972851, 0.958904, 0.966245, 0.967593, 0.977444, 0.968750, 0.980676, 0.967742, 0.975177, 0.967742, 0.973913, 0.970000, 0.969697, 0.945946, 0.966667, 0.986111, 0.928571, 1.000000, 0.958333, 1.000000, 0.960784, 1.000000, 0.958140, 0.991379, 0.964143, 1.000000, 0.967213, 0.986301, 0.964968, 0.988636, 0.968023, 0.962687, 0.971774, 1.000000, 0.967980, 0.964286, 0.968504, 0.962121, 0.963918, 0.960289, 
6.0, 0.965556, 0.975155, 0.966667, 0.979058, 0.958904, 0.972851, 0.958904, 0.966245, 0.967593, 0.977444, 0.968750, 0.980676, 0.967742, 0.975177, 0.967742, 0.973913, 0.970000, 0.969697, 0.945946, 0.966667, 0.986111, 0.928571, 1.000000, 0.958333, 1.000000, 0.960784, 1.000000, 0.958140, 0.991379, 0.964143, 1.000000, 0.967213, 0.986301, 0.964968, 0.988636, 0.968023, 0.962687, 0.971774, 1.000000, 0.965517, 0.964286, 0.968504, 0.962121, 0.963918, 0.960289, 
7.0, 0.960000, 0.975155, 0.866667, 0.979058, 0.940639, 0.972851, 0.940639, 0.966245, 0.953704, 0.977444, 0.968750, 0.980676, 0.967742, 0.975177, 0.967742, 0.973913, 0.970000, 0.969697, 0.945946, 0.900000, 0.986111, 0.871429, 1.000000, 0.925000, 1.000000, 0.934641, 1.000000, 0.939535, 0.991379, 0.948207, 1.000000, 0.950820, 0.986301, 0.952229, 0.988636, 0.956395, 0.962687, 0.959677, 1.000000, 0.953202, 0.964286, 0.958005, 0.962121, 0.963918, 0.945848, 
8.0, 0.952222, 0.968944, 0.866667, 0.973822, 0.931507, 0.968326, 0.931507, 0.962025, 0.939815, 0.977444, 0.968750, 0.975845, 0.946237, 0.968085, 0.946237, 0.965217, 0.950000, 0.962121, 0.918919, 0.900000, 0.972222, 0.857143, 0.990291, 0.916667, 1.000000, 0.928105, 0.990476, 0.930233, 0.982759, 0.936255, 1.000000, 0.939891, 0.972603, 0.939490, 0.977273, 0.944767, 0.955224, 0.947581, 0.990476, 0.943350, 0.955357, 0.947507, 0.954545, 0.958763, 0.935018, 
9.0, 0.941111, 0.950311, 0.833333, 0.958115, 0.922374, 0.950226, 0.922374, 0.949367, 0.930556, 0.962406, 0.937500, 0.961353, 0.935484, 0.946809, 0.935484, 0.947826, 0.940000, 0.944444, 0.918919, 0.866667, 0.958333, 0.842857, 0.980583, 0.908333, 1.000000, 0.921569, 0.980952, 0.920930, 0.974138, 0.928287, 1.000000, 0.928962, 0.958904, 0.933121, 0.965909, 0.938953, 0.940299, 0.939516, 0.980952, 0.938424, 0.941964, 0.942257, 0.939394, 0.945876, 0.927798, 
10.0, 0.935556, 0.950311, 0.800000, 0.958115, 0.908676, 0.945701, 0.908676, 0.945148, 0.921296, 0.962406, 0.937500, 0.961353, 0.924731, 0.946809, 0.924731, 0.947826, 0.930000, 0.941919, 0.891892, 0.833333, 0.958333, 0.828571, 0.980583, 0.891667, 1.000000, 0.901961, 0.980952, 0.906977, 0.974138, 0.916335, 1.000000, 0.918033, 0.958904, 0.920382, 0.965909, 0.927326, 0.932836, 0.931452, 0.980952, 0.928571, 0.937500, 0.931759, 0.931818, 0.943299, 0.913357, 
11.0, 0.933333, 0.944099, 0.800000, 0.952880, 0.904110, 0.941176, 0.904110, 0.940928, 0.921296, 0.962406, 0.937500, 0.961353, 0.924731, 0.943262, 0.924731, 0.944928, 0.930000, 0.939394, 0.891892, 0.833333, 0.958333, 0.828571, 0.980583, 0.883333, 1.000000, 0.895425, 0.980952, 0.902326, 0.974138, 0.912351, 1.000000, 0.918033, 0.958904, 0.917197, 0.965909, 0.924419, 0.932836, 0.931452, 0.980952, 0.926108, 0.937500, 0.929134, 0.931818, 0.940722, 0.909747, 
12.0, 0.916667, 0.937888, 0.800000, 0.947644, 0.881279, 0.927602, 0.881279, 0.932489, 0.893519, 0.954887, 0.906250, 0.956522, 0.903226, 0.932624, 0.903226, 0.933333, 0.910000, 0.921717, 0.864865, 0.833333, 0.944444, 0.814286, 0.961165, 0.875000, 0.984615, 0.875817, 0.961905, 0.879070, 0.956897, 0.884462, 0.983871, 0.885246, 0.945205, 0.894904, 0.954545, 0.904070, 0.895522, 0.907258, 0.971429, 0.908867, 0.906250, 0.910761, 0.893939, 0.920103, 0.884477, 
13.0, 0.906667, 0.925466, 0.766667, 0.937173, 0.876712, 0.918552, 0.876712, 0.924051, 0.888889, 0.947368, 0.875000, 0.946860, 0.892473, 0.921986, 0.892473, 0.924638, 0.900000, 0.906566, 0.864865, 0.800000, 0.930556, 0.814286, 0.951456, 0.866667, 0.969231, 0.869281, 0.952381, 0.874419, 0.939655, 0.880478, 0.967742, 0.879781, 0.931507, 0.888535, 0.943182, 0.898256, 0.880597, 0.903226, 0.961905, 0.901478, 0.888393, 0.905512, 0.878788, 0.909794, 0.877256, 
14.0, 0.902222, 0.919255, 0.766667, 0.926702, 0.876712, 0.909502, 0.876712, 0.915612, 0.888889, 0.939850, 0.875000, 0.932367, 0.892473, 0.907801, 0.892473, 0.913043, 0.900000, 0.896465, 0.864865, 0.800000, 0.930556, 0.814286, 0.951456, 0.866667, 0.969231, 0.869281, 0.952381, 0.874419, 0.939655, 0.880478, 0.967742, 0.879781, 0.931507, 0.888535, 0.943182, 0.898256, 0.873134, 0.903226, 0.961905, 0.901478, 0.883929, 0.905512, 0.878788, 0.902062, 0.877256, 
15.0, 0.900000, 0.919255, 0.766667, 0.921466, 0.876712, 0.904977, 0.876712, 0.911392, 0.888889, 0.939850, 0.875000, 0.932367, 0.892473, 0.904255, 0.892473, 0.907246, 0.900000, 0.891414, 0.864865, 0.800000, 0.930556, 0.814286, 0.951456, 0.866667, 0.969231, 0.869281, 0.952381, 0.874419, 0.931034, 0.880478, 0.967742, 0.879781, 0.917808, 0.888535, 0.931818, 0.898256, 0.865672, 0.903226, 0.961905, 0.901478, 0.875000, 0.905512, 0.871212, 0.896907, 0.877256, 
16.0, 0.887778, 0.913043, 0.733333, 0.916230, 0.872146, 0.900452, 0.872146, 0.898734, 0.884259, 0.917293, 0.875000, 0.913043, 0.881720, 0.890071, 0.881720, 0.889855, 0.890000, 0.876263, 0.864865, 0.766667, 0.930556, 0.800000, 0.922330, 0.858333, 0.923077, 0.862745, 0.923810, 0.869767, 0.905172, 0.876494, 0.919355, 0.874317, 0.917808, 0.882166, 0.931818, 0.892442, 0.858209, 0.899194, 0.923810, 0.896552, 0.852679, 0.897638, 0.863636, 0.884021, 0.870036, 
17.0, 0.881111, 0.900621, 0.733333, 0.905759, 0.858447, 0.891403, 0.858447, 0.890295, 0.870370, 0.917293, 0.843750, 0.903382, 0.870968, 0.879433, 0.870968, 0.881159, 0.880000, 0.868687, 0.837838, 0.766667, 0.916667, 0.785714, 0.902913, 0.850000, 0.907692, 0.856209, 0.904762, 0.855814, 0.887931, 0.864542, 0.903226, 0.857923, 0.904110, 0.872611, 0.920455, 0.883721, 0.850746, 0.887097, 0.904762, 0.889163, 0.843750, 0.889764, 0.856061, 0.876289, 0.859206, 
18.0, 0.868889, 0.894410, 0.733333, 0.900524, 0.844749, 0.886878, 0.844749, 0.886076, 0.865741, 0.909774, 0.812500, 0.888889, 0.860215, 0.868794, 0.860215, 0.872464, 0.870000, 0.861111, 0.810811, 0.766667, 0.902778, 0.785714, 0.883495, 0.833333, 0.876923, 0.836601, 0.885714, 0.841860, 0.870690, 0.852590, 0.870968, 0.852459, 0.890411, 0.863057, 0.909091, 0.869186, 0.843284, 0.875000, 0.885714, 0.871921, 0.834821, 0.876640, 0.848485, 0.871134, 0.848375, 
19.0, 0.860000, 0.894410, 0.733333, 0.895288, 0.835616, 0.882353, 0.835616, 0.877637, 0.861111, 0.909774, 0.812500, 0.884058, 0.860215, 0.861702, 0.860215, 0.866667, 0.870000, 0.853535, 0.810811, 0.733333, 0.902778, 0.771429, 0.873786, 0.825000, 0.876923, 0.823529, 0.876190, 0.832558, 0.862069, 0.844622, 0.870968, 0.846995, 0.876712, 0.856688, 0.897727, 0.863372, 0.835821, 0.870968, 0.876190, 0.866995, 0.821429, 0.871391, 0.840909, 0.863402, 0.841155, 
20.0, 0.853333, 0.894410, 0.700000, 0.895288, 0.812785, 0.882353, 0.812785, 0.877637, 0.842593, 0.909774, 0.781250, 0.884058, 0.849462, 0.861702, 0.849462, 0.866667, 0.860000, 0.853535, 0.729730, 0.700000, 0.902778, 0.742857, 0.873786, 0.800000, 0.876923, 0.797386, 0.876190, 0.809302, 0.862069, 0.820717, 0.870968, 0.830601, 0.876712, 0.837580, 0.897727, 0.845930, 0.835821, 0.854839, 0.876190, 0.852217, 0.821429, 0.855643, 0.840909, 0.863402, 0.823105, 
21.0, 0.850000, 0.894410, 0.700000, 0.895288, 0.808219, 0.882353, 0.808219, 0.877637, 0.837963, 0.909774, 0.781250, 0.884058, 0.849462, 0.861702, 0.849462, 0.866667, 0.860000, 0.853535, 0.729730, 0.700000, 0.902778, 0.742857, 0.873786, 0.800000, 0.876923, 0.790850, 0.876190, 0.804651, 0.862069, 0.816733, 0.870968, 0.825137, 0.876712, 0.834395, 0.897727, 0.843023, 0.835821, 0.854839, 0.876190, 0.847291, 0.821429, 0.850394, 0.840909, 0.863402, 0.819495, 
22.0, 0.843333, 0.894410, 0.700000, 0.895288, 0.808219, 0.882353, 0.808219, 0.873418, 0.828704, 0.909774, 0.750000, 0.884058, 0.827957, 0.861702, 0.827957, 0.860870, 0.840000, 0.848485, 0.729730, 0.700000, 0.902778, 0.742857, 0.873786, 0.800000, 0.876923, 0.790850, 0.876190, 0.804651, 0.862069, 0.816733, 0.870968, 0.814208, 0.876712, 0.828025, 0.897727, 0.837209, 0.835821, 0.846774, 0.876190, 0.842365, 0.821429, 0.845144, 0.840909, 0.853093, 0.815884, 
23.0, 0.836667, 0.888199, 0.700000, 0.890052, 0.799087, 0.877828, 0.799087, 0.869198, 0.814815, 0.902256, 0.750000, 0.874396, 0.827957, 0.854610, 0.827957, 0.855072, 0.840000, 0.843434, 0.702703, 0.700000, 0.902778, 0.742857, 0.864078, 0.800000, 0.876923, 0.790850, 0.866667, 0.795349, 0.853448, 0.804781, 0.870968, 0.797814, 0.876712, 0.818471, 0.897727, 0.825581, 0.835821, 0.830645, 0.866667, 0.832512, 0.816964, 0.834646, 0.840909, 0.847938, 0.808664, 
24.0, 0.827778, 0.875776, 0.700000, 0.869110, 0.789954, 0.855204, 0.789954, 0.852321, 0.805556, 0.879699, 0.750000, 0.859903, 0.827957, 0.843972, 0.827957, 0.840580, 0.840000, 0.828283, 0.675676, 0.700000, 0.902778, 0.742857, 0.864078, 0.800000, 0.876923, 0.784314, 0.857143, 0.786047, 0.844828, 0.796813, 0.870968, 0.786885, 0.863014, 0.812102, 0.886364, 0.819767, 0.820896, 0.822581, 0.857143, 0.827586, 0.803571, 0.829396, 0.825758, 0.832474, 0.801444, 
25.0, 0.818889, 0.869565, 0.666667, 0.863874, 0.785388, 0.850679, 0.785388, 0.843882, 0.800926, 0.864662, 0.687500, 0.850242, 0.806452, 0.836879, 0.806452, 0.831884, 0.820000, 0.818182, 0.675676, 0.666667, 0.902778, 0.728571, 0.864078, 0.791667, 0.876923, 0.777778, 0.857143, 0.781395, 0.844828, 0.788845, 0.870968, 0.781421, 0.863014, 0.805732, 0.886364, 0.811047, 0.813433, 0.814516, 0.857143, 0.820197, 0.794643, 0.821522, 0.818182, 0.824742, 0.794224, 
26.0, 0.808889, 0.850932, 0.633333, 0.848168, 0.767123, 0.837104, 0.767123, 0.831224, 0.782407, 0.849624, 0.656250, 0.835749, 0.795699, 0.826241, 0.795699, 0.820290, 0.810000, 0.808081, 0.675676, 0.633333, 0.888889, 0.700000, 0.854369, 0.775000, 0.876923, 0.764706, 0.847619, 0.762791, 0.836207, 0.772908, 0.870968, 0.759563, 0.849315, 0.792994, 0.875000, 0.796512, 0.805970, 0.798387, 0.847619, 0.807882, 0.790179, 0.808399, 0.810606, 0.814433, 0.776173, 
27.0, 0.798889, 0.844720, 0.633333, 0.842932, 0.753425, 0.832579, 0.753425, 0.822785, 0.768519, 0.849624, 0.656250, 0.826087, 0.784946, 0.815603, 0.784946, 0.808696, 0.800000, 0.797980, 0.675676, 0.633333, 0.875000, 0.700000, 0.844660, 0.758333, 0.876923, 0.751634, 0.838095, 0.748837, 0.827586, 0.760956, 0.870968, 0.748634, 0.835616, 0.777070, 0.863636, 0.781977, 0.798507, 0.786290, 0.838095, 0.795567, 0.785714, 0.795276, 0.803030, 0.806701, 0.765343, 
28.0, 0.791111, 0.838509, 0.633333, 0.837696, 0.744292, 0.823529, 0.744292, 0.814346, 0.763889, 0.842105, 0.656250, 0.816425, 0.784946, 0.804965, 0.784946, 0.797101, 0.800000, 0.785354, 0.675676, 0.633333, 0.875000, 0.685714, 0.834951, 0.750000, 0.876923, 0.745098, 0.828571, 0.739535, 0.818966, 0.752988, 0.870968, 0.743169, 0.835616, 0.770701, 0.863636, 0.776163, 0.791045, 0.782258, 0.828571, 0.790640, 0.772321, 0.790026, 0.795455, 0.796392, 0.758123, 
29.0, 0.782222, 0.826087, 0.600000, 0.827225, 0.730594, 0.814480, 0.730594, 0.805907, 0.754630, 0.842105, 0.625000, 0.811594, 0.774194, 0.797872, 0.774194, 0.791304, 0.790000, 0.777778, 0.648649, 0.600000, 0.861111, 0.685714, 0.825243, 0.733333, 0.861538, 0.732026, 0.819048, 0.725581, 0.810345, 0.741036, 0.870968, 0.732240, 0.821918, 0.757962, 0.852273, 0.764535, 0.783582, 0.774194, 0.819048, 0.780788, 0.763393, 0.779528, 0.787879, 0.786082, 0.743682, 
30.0, 0.773333, 0.819876, 0.600000, 0.811518, 0.721461, 0.800905, 0.721461, 0.793249, 0.745370, 0.827068, 0.625000, 0.801932, 0.774194, 0.787234, 0.774194, 0.779710, 0.790000, 0.770202, 0.648649, 0.600000, 0.847222, 0.685714, 0.815534, 0.725000, 0.846154, 0.725490, 0.809524, 0.716279, 0.801724, 0.733068, 0.854839, 0.721311, 0.808219, 0.748408, 0.840909, 0.755814, 0.776119, 0.766129, 0.809524, 0.773399, 0.758929, 0.769029, 0.780303, 0.775773, 0.736462, 
31.0, 0.763333, 0.819876, 0.600000, 0.811518, 0.698630, 0.800905, 0.698630, 0.793249, 0.726852, 0.827068, 0.593750, 0.801932, 0.752688, 0.783688, 0.752688, 0.776812, 0.770000, 0.765152, 0.621622, 0.600000, 0.847222, 0.657143, 0.815534, 0.708333, 0.846154, 0.699346, 0.809524, 0.693023, 0.801724, 0.709163, 0.854839, 0.699454, 0.808219, 0.726115, 0.840909, 0.735465, 0.776119, 0.750000, 0.809524, 0.756158, 0.750000, 0.750656, 0.780303, 0.773196, 0.714801, 
32.0, 0.758889, 0.819876, 0.600000, 0.811518, 0.684932, 0.800905, 0.684932, 0.793249, 0.726852, 0.827068, 0.593750, 0.801932, 0.752688, 0.783688, 0.752688, 0.776812, 0.770000, 0.765152, 0.621622, 0.600000, 0.847222, 0.628571, 0.815534, 0.683333, 0.846154, 0.679739, 0.809524, 0.679070, 0.801724, 0.697211, 0.854839, 0.699454, 0.808219, 0.716561, 0.840909, 0.726744, 0.776119, 0.750000, 0.809524, 0.748768, 0.750000, 0.742782, 0.780303, 0.770619, 0.703971, 
33.0, 0.754444, 0.819876, 0.600000, 0.811518, 0.675799, 0.800905, 0.675799, 0.793249, 0.722222, 0.827068, 0.593750, 0.801932, 0.741935, 0.780142, 0.741935, 0.773913, 0.760000, 0.762626, 0.621622, 0.600000, 0.847222, 0.628571, 0.815534, 0.675000, 0.846154, 0.666667, 0.809524, 0.669767, 0.801724, 0.689243, 0.854839, 0.693989, 0.808219, 0.710191, 0.840909, 0.720930, 0.776119, 0.745968, 0.809524, 0.743842, 0.750000, 0.734908, 0.780303, 0.768041, 0.696751, 
34.0, 0.741111, 0.813665, 0.533333, 0.801047, 0.662100, 0.787330, 0.662100, 0.776371, 0.712963, 0.827068, 0.562500, 0.801932, 0.720430, 0.773050, 0.720430, 0.765217, 0.740000, 0.752525, 0.621622, 0.533333, 0.847222, 0.614286, 0.805825, 0.650000, 0.846154, 0.647059, 0.800000, 0.655814, 0.793103, 0.677291, 0.854839, 0.683060, 0.808219, 0.697452, 0.840909, 0.709302, 0.761194, 0.737903, 0.809524, 0.733990, 0.736607, 0.724409, 0.765152, 0.750000, 0.685921, 
35.0, 0.730000, 0.807453, 0.533333, 0.790576, 0.652968, 0.778281, 0.652968, 0.767932, 0.699074, 0.819549, 0.531250, 0.792271, 0.698925, 0.762411, 0.698925, 0.756522, 0.720000, 0.742424, 0.621622, 0.533333, 0.833333, 0.585714, 0.786408, 0.633333, 0.815385, 0.633987, 0.780952, 0.646512, 0.775862, 0.669323, 0.822581, 0.666667, 0.794521, 0.681529, 0.818182, 0.694767, 0.746269, 0.725806, 0.790476, 0.721675, 0.723214, 0.708661, 0.750000, 0.742268, 0.675090, 
36.0, 0.723333, 0.801242, 0.500000, 0.785340, 0.639269, 0.773756, 0.639269, 0.763713, 0.680556, 0.812030, 0.500000, 0.787440, 0.688172, 0.758865, 0.688172, 0.753623, 0.700000, 0.739899, 0.594595, 0.500000, 0.833333, 0.557143, 0.786408, 0.616667, 0.815385, 0.614379, 0.780952, 0.632558, 0.775862, 0.657371, 0.822581, 0.655738, 0.794521, 0.668790, 0.818182, 0.683140, 0.746269, 0.709677, 0.790476, 0.709360, 0.723214, 0.698163, 0.750000, 0.739691, 0.664260, 
37.0, 0.720000, 0.801242, 0.500000, 0.785340, 0.630137, 0.773756, 0.630137, 0.763713, 0.675926, 0.812030, 0.500000, 0.787440, 0.688172, 0.758865, 0.688172, 0.750725, 0.700000, 0.737374, 0.594595, 0.500000, 0.833333, 0.542857, 0.786408, 0.608333, 0.815385, 0.607843, 0.780952, 0.623256, 0.775862, 0.649402, 0.822581, 0.655738, 0.794521, 0.662420, 0.818182, 0.677326, 0.746269, 0.705645, 0.790476, 0.704433, 0.723214, 0.692913, 0.750000, 0.737113, 0.657040, 
38.0, 0.713333, 0.795031, 0.500000, 0.780105, 0.625571, 0.764706, 0.625571, 0.759494, 0.671296, 0.804511, 0.500000, 0.782609, 0.688172, 0.755319, 0.688172, 0.747826, 0.700000, 0.729798, 0.540541, 0.500000, 0.833333, 0.542857, 0.786408, 0.608333, 0.815385, 0.607843, 0.780952, 0.618605, 0.775862, 0.645418, 0.822581, 0.650273, 0.794521, 0.659236, 0.818182, 0.671512, 0.738806, 0.697581, 0.790476, 0.699507, 0.714286, 0.687664, 0.742424, 0.731959, 0.653430, 
